Identifier	Change_name	Change_type	Species	Gender	Age_start	Age_end	Description	Tissues	Gene	Properties	Type_of_data	Process_measured	Sample_size	Method_of_collection	Data_transforms	Percentage_change	P_value	Coefficiant	Intercept	Relationship_parent_identifiers	References
DAA477	bolA homolog 3 (E. coli)	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	BOLA3 (bolA homolog 3 (E. coli))		equation	Gene Expression Level	0	Microarray	Log	-5.0	0.0001125678071762480000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA653	Bone becomes more brittle, less flexible	physiological	Homo sapiens	male/female	-1	-1	An increased porosity resulting from the continuous bone remodelling reduces the structural strength of the bone. The remaining bone becomes more brittle with age via a paradoxically increase in mineralization of the remaining bone tissue. As such, the bone of an elderly person, when subjected to pressure, is more likely to snap and cause a clean fracture which is less likely to heal. In contrast the bone of younger persons is more flexible, because of the higher organic composition of its matrix.	Bone												DAA646,DAA654	2655: Whitbourne, S. K. (1985) "The Aging Body: Physiological Changes and Psychological Consequences" 
DAA650	Bone density of total hip and femoral neck decreases	physiological	Homo sapiens	male/female	-1	-1	Based on 9423 subjects from the longitudinal Canadian Multicentre Osteoporosis Study, bone density of total hip and femoral neck decreases with age. Measurements taken at baseline then 3 and 5 years later.	Bone												DAA646	2754: Berger et al. (2008) "Change in bone mineral density as a function of age in women and men and association with the use of antiresorptive agents."  CMAJ 178(13):1660-1668 (18559803)
DAA1974	Bone loss	physiological	Mus musculus	male	42	104	In young mice the rapid growth is marked by substantial increase in bone size, mineral mass and mechanical properties. Maturation occurring between 12 and 42 weeks of age was characterized with the maintenance of bone mass and mechanical properties. From the peak levels, mice aged for 104 weeks exhibited decreased whole femur mass, percentage of mineralization diminished whole bone stiffness, energy to fracture and decreased cortical thickness.  Periosteal perimeter and, consequently the cross-sectional moments of inertia continued to increase through 104 weeks, compensating for cortical thinning and increased brittleness due to decreased mineralization and stiffness. The shape of the mid-diaphysis became increasingly less elliptical in aged mice. After 52 weeks excessive endocortical resorption appeared, indicating a shift in normal mechanisms regulating bone shape and locating, suggestive of remodelling.	Bone													2667: Ferguson et al. (2003) "Bone development and age-related bone loss in male C57BL/6J mice."  Bone 33(3):387-398 (13678781)
DAA648	Bone mass decreases	physiological	Homo sapiens	male/female	50	-1	With age, bone resorption exceeds bone synthesis, leading to decreased bone mass.	Bone												DAA646,DAA2043	2679: Garen, S (1975) "Bone loss and aging"  in The Physiology and Pathology of Human Aging39-58|2834: Exton-Smith, A. N. (1985) "Mineral metabolism"  in Handbook of the Biology of Aging, 2nd ed.Pp. 511-539|2881: Fossel, M. (2004) "Cells, Aging, and Human Disease. "  in Cells, Aging, and Human Disease. 
DAA649	Bone mineral density in cortical ulna decreases	physiological	Homo sapiens	female	40	-1	The bone mineral content reaches a maximum value during the 30s and then declines beginning in the 40s in women. The reduction in mineral density from age 40 on parallels that decline in average mineral concentrations.	Ulna												DAA646	2917: Doyle (1969) "Radiological measurement of skin thickness and bone mineral."  Sci Basis Med Annu Rev133-145 (4917833)
DAA25	bone morphogenetic protein 7	molecular	Homo sapiens	male/female	26	106		Brain	BMP7 (bone morphogenetic protein 7)		equation	Gene Expression Level	0	Microarray	Log	20.0	0.0002922090330284340000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA568	bone morphogenetic protein receptor, type IB	molecular	Homo sapiens	male/female	22	73		Skeletal Muscle	BMPR1B (bone morphogenetic protein receptor, type IB)		equation	Gene Expression Level	0	Microarray	Log	-11.0	0.0009167938160907650000000				2823: Welle et al. (2002) "Computational method for reducing variance with Affymetrix microarrays."  BMC Bioinformatics 3:23 (12204100)
DAA651	Bone porosity increases	physiological	Homo sapiens	male/female	-1	-1	Likely due to continual bone remodeling and causing decreases in bone structural strength.	Bone												DAA653,DAA653	2655: Whitbourne, S. K. (1985) "The Aging Body: Physiological Changes and Psychological Consequences" 
DAA645	Bone remodeling decreases	physiological	Homo sapiens	male	20	80	Total osteocyte lacunar number decreases during ageing which is accompanied by an increase in hypermineralized lacunar occlusion. These changes indicate a failure or delay in bone remodeling and repair during ageing.	Bone													2887: Busse et al. (2010) "Decrease in the osteocyte lacunar density accompanied by hypermineralized lacunar occlusion reveals failure and delay of remodeling in aged human bone."  Aging Cell 9(6):1065-1075 (20874757)|2937: Riggs and Melton (1986) "Involutional osteoporosis."  N. Engl. J. Med. 314(26):1676-1686 (3520321)
DAA647	Bone resorption increases for cortical bone	physiological	Homo sapiens	female	50	-1	Cortical (compact) bone resorption increases starting at 50 years of age in white females.	Bone												DAA646	2679: Garen, S (1975) "Bone loss and aging"  in The Physiology and Pathology of Human Aging39-58
DAA1852	brain derived neurotrophic factor	molecular	Mus musculus	male/female	5	25		Skeletal Muscle	Bdnf (brain derived neurotrophic factor)		equation	Gene Expression Level	20	Microarray	Log2	5.0	0.0000081378443182586800000				2648: NCBI GEO Dataset (2006) "Caloric restriction effect on aged skeletal muscle"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2612)|2835: Edwards et al. (2007) "Gene expression profiling of aging reveals activation of a p53-mediated transcriptional program."  BMC Genomics 8:80 (17381838)
DAA728	Brain matter volume declines	physiological	Homo sapiens	male/female	-1	-1	Brain matter total volume declined approximately 0.5%/year over a 4 year study period with 70 years mean age at baseline.	Brain												DAA1217	2775: Resnick et al. (2007) "Vulnerability of the orbitofrontal cortex to age-associated structural and functional brain changes."  Ann. N. Y. Acad. Sci. 1121:562-575 (17846159)
DAA541	brain protein 44-like	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	BRP44L (brain protein 44-like)		equation	Gene Expression Level	0	Microarray	Log	-5.0	0.0000331174436167175000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA289	brain protein 44-like	molecular	Homo sapiens	male/female	27	92		Kidney	BRP44L (brain protein 44-like)		equation	Gene Expression Level	0	Microarray	Log	-9.0	0.0003327829362074970000000				2993: Rodwell et al. (2004) "A transcriptional profile of aging in the human kidney."  PLoS Biol. 2(12):e427 (15562319)
DAA1217	Brain volume decrease	physiological	Homo sapiens	male/female	50	88	The volume of all brain structures decrease over the lifespan, starting at age 50. The brain actually increases in size from about 357 g at birth to a peak size of about 1300 g at age 20 years. This weight is maintained until about 55-65 years of age, which marks the beginning of a progressive decline in weight through the age of 80 years. As result there can be as much as an 11% decrease in mean brain weight, or a 6% decrease in mean brain size, in the elderly relative to the young adult.	Brain													2892: Arking, R. (2006) "Biology of Aging: Observations and Principles" 171|2940: Davison (1987) "Pathophysiology of ageing brain."  Gerontology 33(3-4):129-135 (3308642)
DAA1993	Brain volume decreases in a regional-specific way	physiological	Homo sapiens	male/female	-1	-1	Longitudinal changes in the brain volume are not uniform suggesting a nonlinear regional brain aging. The age-related shrinkage of the brain is widespread, and its magnitude varies across regions. The caudate, the cerebellum, the hippocampus and the association cortices shrunk significantly with age. There was minimal change in the entorhinal and none in the primary visual cortex. Shrinkage of the cerebellum decreased from young to middle adulthood, and increased from middle adulthood to old age. Shrinkage of the hippocampus, the entorhinal cortices, the inferior temporal cortex and the prefrontal white matter increased with age. Shrinkage in the hippocampus and the cerebellum accelerated with age. 	Brain												DAA1217	2819: Raz et al. (2005) "Regional brain changes in aging healthy adults: general trends, individual differences and modifiers."  Cereb. Cortex 15(11):1676-1689 (15703252)
DAA599	Breast cancer	pathological	Homo sapiens	male/female	18	85		Mammary Gland				Morbidity	0			None	None				2801: Center for Disease Control and Prevention (2006) "Mortality by underlying and multiple cause, ages 18+: US, 1981-2006 (Source: NVSS) (2006 data only)"  (http://www.cdc.gov/nchs/hdi.htm)
DAA1639	breast cancer metastasis-suppressor 1-like	molecular	Mus musculus	male/female	2	26		Lung	Brms1l (breast cancer metastasis-suppressor 1-like)		equation	Gene Expression Level	20	Microarray	Log2	-1.0	0.0008141121844568950000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA1738	bromodomain PHD finger transcription factor	molecular	Mus musculus	male/female	8	24		Muscle	Bptf (bromodomain PHD finger transcription factor)		equation	Gene Expression Level	20	Microarray	Log2	3.0	0.0007747932219995010000000				2651: Beggs et al. (2004) "Alterations in the TGFbeta signaling pathway in myogenic progenitors with age."  Aging Cell 3(6):353-361 (15569352)
DAA453	butyrophilin-like 3	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	BTNL3 (butyrophilin-like 3)		equation	Gene Expression Level	0	Microarray	Log	-5.0	0.0005922710943979420000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA1691	C1q and tumor necrosis factor related protein 2	molecular	Mus musculus	male/female	2	26		Lung	C1qtnf2 (C1q and tumor necrosis factor related protein 2)		equation	Gene Expression Level	20	Microarray	Log2	-8.0	0.0000657687330320456000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA1601	C1q and tumor necrosis factor related protein 3	molecular	Mus musculus	male/female	2	26		Lung	C1qtnf3 (C1q and tumor necrosis factor related protein 3)		equation	Gene Expression Level	20	Microarray	Log2	-22.0	0.0004653517378151770000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA419	cadherin 5, type 2 (vascular endothelium)	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	CDH5 (cadherin 5, type 2 (vascular endothelium))		equation	Gene Expression Level	0	Microarray	Log	-6.0	0.0001266736590432490000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA1400	cadherin 6	molecular	Mus musculus	male/female	2	15		Hippocampus	Cdh6 (cadherin 6)		equation	Gene Expression Level	20	Microarray	Log2	-9.0	0.0004866987613663240000000				2706: Verbitsky et al. (2004) "Altered hippocampal transcript profile accompanies an age-related spatial memory deficit in mice."  Learn. Mem. 11(3):253-260 (15169854)
DAA33	calbindin 1, 28kDa	molecular	Homo sapiens	male/female	26	106		Brain	CALB1 (calbindin 1, 28kDa)		equation	Gene Expression Level	0	Microarray	Log	-58.0	0.0006765731166120590000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA665	Calcification makes cartilage more brittle	physiological	Homo sapiens	male	-1	-1	The most important regressive change in cartilage with age is that of calcification, in which minute granules on inorganic calcium slats are deposited in the matrix. The granules become enlarged and merge with one another and as a result the cartilage becomes hard and brittle.	Cartilage													2847: Leeson, C. R. and Leeson, T. S. (1970) "Histology" 
DAA663	Calcification of cartilage matrix	physiological	Homo sapiens	male/female	-1	-1	Deposition of inorganic calcium granules in cartilage matrix.	Cartilage												DAA664,DAA665	2847: Leeson, C. R. and Leeson, T. S. (1970) "Histology" 
DAA801	Calcification of costal cartilage	physiological	Homo sapiens	male/female	-1	-1	Calcification of costal cartilage occurs with age which affects lung dynamic compliance.	Thorax, Cartilage												DAA800	2746: Britto et al. (2009) "Effects of the aging process on respiratory function."  Gerontology 55(5):505-510 (19713688)
DAA848	Calcium absorption in intestine decreases	physiological	Homo sapiens	male/female	-1	-1	Calcium absorption in intestine decreases after age 70.
	Intestine													2655: Whitbourne, S. K. (1985) "The Aging Body: Physiological Changes and Psychological Consequences" 
DAA765	Calcium binding capacity decreases in neurons	physiological	Homo sapiens	male	-1	-1	Calcium binding capacity decreases in neurons, though please note this is not uniform and there are localized exceptions to this general trend.	Brain		Cellular											2672: Toescu and Verkhratsky (2007) "The importance of being subtle: small changes in calcium homeostasis control cognitive decline in normal aging."  Aging Cell 6(3):267-273 (17517038)
DAA1578	calcium/calmodulin-dependent protein kinase ID	molecular	Mus musculus	male/female	2	26		Lung	Camk1d (calcium/calmodulin-dependent protein kinase ID)		equation	Gene Expression Level	20	Microarray	Log2	6.0	0.0007118464870508800000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
